Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C035,"Frigidaire EFMIS179 Gaming Light Up Mini Beverage Refrigerator, Stealth",$38.63,3.9 out of 5 stars,680 ratings,,"Reviewed in the United States on November 19, 2024",1K+ boughtin past month
C036,"Gaming Headset for PC, Ps4, Ps5, Xbox Headset with 7.1 Surround Sound, Gaming Headphones with Noise Cancelling Mic RGB Light Over Ear Headphones for Xbox Series X/S, Switch",$25.68,4.4 out of 5 stars,"4,033 ratings",Only 3 left in stock - order soon.,"Reviewed in the United States on October 25, 2024",10K+ boughtin past month
C037,"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black",$88.98,4.4 out of 5 stars,"16,834 ratings",In Stock,"Reviewed in the United States on February 17, 2023",10K+ bought in past month
C038,"Exquisite Gaming: Call of Duty: Monkeybomb - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure",$22.49,4.8 out of 5 stars,"1,575 ratings",,"Reviewed in the United States on November 21, 2024",10K+ boughtin past month
C039,"HP Victus 15.6"" 144Hz FHD Gaming Laptop,AMD Ryzen 5 7535HS,16GB DDR5 RAM,512GB SSD,AMD Radeon RX 6550M,Beats RTX 2050,Backlit Keyboard,Windows11 Pro, Mica Silver",$550.00,4.3 out of 5 stars,74 ratings,Only 5 left in stock - order soon.,"Reviewed in the United States on October 21, 2024",400+ bought in past month
C040,"KDD Gaming Headphones Stand, Rotatable Headset Stand with Light Modes - Controller Holder with 2 USB Charging Ports and 3.5mm - Earphone Hanger Accessories for Desktop Gamer(Black)",$29.95,4.6 out of 5 stars,"2,113 ratings",In Stock,"Reviewed in the United States on October 7, 2023",6K+ bought in past month
C041,"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",$169.97,4.5 out of 5 stars,"12,036 ratings",In Stock,"Reviewed in the United States on November 4, 2024",10K+ boughtin past month
C042,"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - For PC, PS4, PS5, Switch - 3.5mm Audio Jack - Black",$39.99,4.4 out of 5 stars,"19,773 ratings",Only 19 left in stock (more on the way).,"Reviewed in the United States on December 5, 2024",10K+ bought in past month
C043,"MAONO Gaming USB Microphone, Noise Cancellation Condenser mic with Mute, Gain, Monitoring, Boom Arm for Streaming, Podcast, Twitch, YouTube, Discord, PC, Computer, PS4, PS5, Mac, GamerWave DGM20S",$48.99,4.5 out of 5 stars,"2,286 ratings",In Stock,"Reviewed in the United States on August 31, 2024",10K+ boughtin past month
C044,"3-in-1 PC Gaming Headset&Controller Holder - EURPMASK Headphone Stand w/Adjustable Clamp&2 Controller Holder&Rotating Arm&Cable Organizer, Universal PC Gaming Accessory Controller Headset Stand-Black",$21.99,4.5 out of 5 stars,607 ratings,In Stock,"Reviewed in the United States on June 27, 2024",1K+ boughtin past month
C045,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",$649.99,4.4 out of 5 stars,"1,215 ratings",In Stock,"Reviewed in the United States on November 3, 2024",4K+ boughtin past month
C046,"Rotating Headphone Stand - EURPMASK PC Gaming Headset Stand, Adjustable Clamp-on Headphone Holder, Headphone Hanger Hook Under Desk with 360 Degree Swivel&Cable Clip Organizer - Black",$13.99,4.7 out of 5 stars,"27,256 ratings",In Stock,"Reviewed in the United States on October 27, 2024",10K+ boughtin past month
C047,"Gaming Microphone, USB PC Mic for Podcasts Videos, Streaming, Condenser Mic with Quick Mute, Tripod Stand, Pop Filter, RGB Indicator, Shock Mount, Rotate gain button, Compatible with PS4/5/PC",$29.99,4.3 out of 5 stars,"2,184 ratings",In Stock,"Reviewed in the United States on November 4, 2024",7K+ bought in past month
C048,Meta Quest 3S 128GB — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Quest+ Included — All-in-One Headset,Page 1 of 1,4.4 out of 5 stars,700 ratings,Not Available,"Reviewed in the United States on November 12, 2024",
C049,"Gaming Sock, Do Not Disturb I'm Gaming,Gaming Socks for Teen Boys Gamer with Glowing, Novelty Socks for Men Dad Father Women",,4.5 out of 5 stars,405 ratings,In Stock,"Reviewed in the United States on October 20, 2024",700+ bought in past month
C050,"Xbox Core Wireless Gaming Controller – Deep Pink – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",$45.00,4.6 out of 5 stars,"78,917 ratings",,"Reviewed in the United States on December 6, 2024",20K+ boughtin past month
C051,"LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG), with HDR 10 Compatibility, NVIDIA G-SYNC, and AMD FreeSync, 144Hz, Black",$299.99,4.6 out of 5 stars,"12,115 ratings",In Stock,"Reviewed in the United States on October 18, 2024",6K+ bought in past month
C052,"Hcman Headphone Stand Gaming Headset Holder RGB PC Gaming Accessories for Desk, Cool LED Headset Stand with 2 USB Charger for Gamer, Black",$25.99,4.3 out of 5 stars,641 ratings,In Stock,"Reviewed in Germany on November 29, 2024",800+ boughtin past month
C053,"Corsair VOID RGB ELITE Wireless Gaming Headset - 7.1 Surround Sound - Discord Certified - iCUE Compatible - PC, Mac, PS5, PS4 - White",$105.10,4.3 out of 5 stars,"23,029 ratings",In Stock,"Reviewed in the United States on August 4, 2024",3K+ boughtin past month
C054,"Redragon K585 DITI Wired One-Handed RGB Mechanical Gaming Keyboard, 42 Keys Type-C Professional Gaming Keypad w/Upgraded Hot-Swappable Socket, 7 Onboard Macro Keys & Detachable Wrist Rest",$36.99,4.3 out of 5 stars,"8,958 ratings",In Stock,"Reviewed in the United States on December 12, 2022",2K+ bought in past month
C055,"Xbox Elite Series 2 Core Wireless Gaming Controller – White – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",$98.00,4.3 out of 5 stars,"42,728 ratings",Usually ships within 2 to 4 weeks,"Reviewed in the United States on October 21, 2022",10K+ bought in past month
C056,"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space, Easy to Assemble, 51 inch, Carbon Fiber Surface, Black",$66.66,4.5 out of 5 stars,950 ratings,In Stock,"Reviewed in the United States on October 18, 2024",4K+ bought in past month
C057,"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black",$178.94,4.4 out of 5 stars,"1,360 ratings",In Stock,"Reviewed in the United States on August 18, 2024",8K+ boughtin past month
C058,"Logitech G PRO X SUPERLIGHT 2 LIGHTSPEED Wireless Gaming Mouse, 8K Polling, Lightweight, LIGHTFORCE Hybrid Switches, HERO 2 Sensor, 888 IPS, 44,000 DPI, 5 Programmable Buttons,USB-C Charging, PC & Mac",Page 1 of 1,4.5 out of 5 stars,"1,092 ratings",Not Available,"Reviewed in the United States on December 1, 2024",
C059,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",$39.49,4.6 out of 5 stars,"53,389 ratings",,"Reviewed in the United States on March 14, 2021",10K+ bought in past month
C060,"Sceptre Curved 24.5-inch Gaming Monitor up to 240Hz 1080p R1500 1ms DisplayPort x2 HDMI x2 Blue Light Shift Build-in Speakers, Machine Black 2023 (C255B-FWT240)",$127.97,4.4 out of 5 stars,"6,937 ratings",Temporarily out of stock.,"Reviewed in the United States on November 3, 2024",10K+ boughtin past month
C061,"SAMSUNG 25"" Odyssey G4 Series FHD Gaming Monitor, IPS, 240Hz, 1ms, G-Sync Compatible, AMD FreeSync Premium, HDR10, Ultrawide Game View, DisplayPort, HDMI, Fully Adjustable Stand, LS25BG402ENXGO",$338.95,4.6 out of 5 stars,504 ratings,Only 8 left in stock - order soon.,"Reviewed in the United States on July 8, 2024",3K+ bought in past month
C062,"LG 27"" UltraGear QHD (2560x1440) Gaming Monitor, 240Hz, 1ms, VESA DisplayHDR 400, G-SYNC and AMD FreeSync Premium, HDMI 2.1, DisplayPort, 4-Pole HP Out DTS HP:X, Tilt/Height/Pivot Stand, Black",$349.99,4.4 out of 5 stars,276 ratings,In Stock,"Reviewed in the United States on November 7, 2024",3K+ bought in past month
C063,"KontrolFreek Precision Rings | Aim Assist Motion Control for PlayStation 4 (PS4), PS5, Xbox One, XBX, Switch Pro & Scuf Controller (Black/Purple/Green)",$10.99,4.0 out of 5 stars,"9,616 ratings",In Stock,"Reviewed in the United States on September 26, 2024",6K+ bought in past month
